regime,convention,parameter_origin,ground_state_scope,coupling_sign,delta,block_length,entropy_bits,energy,residual_norm
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,1,1.0,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,1,1.0,-49.45319343920378,2.758523520724202e-10
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,polarized_ground_representative,-1.0,1.0,1,0.0,-20.0,0.0
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,1,1.0,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,1,0.0,-40.0,0.0
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,2,1.3701224264483622,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,2,1.317627778971234,-49.45319343920378,2.758523520724202e-10
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,polarized_ground_representative,-1.0,1.0,2,0.0,-20.0,0.0
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,2,1.471685094398615,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,2,0.0,-40.0,0.0
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,3,1.566521459391785,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,3,1.4813500737249263,-49.45319343920378,2.758523520724202e-10
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,polarized_ground_representative,-1.0,1.0,3,0.0,-20.0,0.0
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,3,1.7424875695421238,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,3,0.0,-40.0,0.0
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,4,1.6943831027022807,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,4,1.5751361819227514,-49.45319343920378,2.758523520724202e-10
