particles,coupling,sector,selector,lower_index,lower_energy,upper_energy,midpoint_offset,spacing
600,1.05,0,midpoint_nearest,1,-300.3963269850477,-299.9507642590678,-0.17354562205775892,0.44556272597992574
700,1.05,0,midpoint_nearest,2,-350.05365487420784,-349.4881056781911,0.22911972380052248,0.5655491960167183
800,1.05,0,midpoint_nearest,2,-400.14182446853346,-399.61938017879845,0.11939767633407428,0.5224442897350059
900,1.05,0,midpoint_nearest,2,-450.2181799613048,-449.73471242552847,0.023553806583322512,0.4834675357763558
1000,1.05,0,midpoint_nearest,2,-500.2844517243732,-499.83759346003274,-0.06102259220295991,0.44685826434044884
1100,1.05,0,midpoint_nearest,2,-550.3418384472952,-549.9303927238353,-0.1361155855652214,0.4114457234599058
1200,1.05,0,midpoint_nearest,2,-600.3915322436517,-600.0147418977909,-0.20313707072136822,0.37679034586074067
1300,1.05,0,midpoint_nearest,3,-650.0917487963716,-649.6199918959134,0.1441296538575898,0.4717569004582174
1400,1.05,0,midpoint_nearest,3,-700.1621223074867,-699.7149003666005,0.06148866295643529,0.44722194088615197
600,1.05,0,straddling,1,-300.3963269850477,-299.9507642590678,-0.17354562205775892,0.44556272597992574
700,1.05,0,straddling,2,-350.05365487420784,-349.4881056781911,0.22911972380052248,0.5655491960167183
800,1.05,0,straddling,2,-400.14182446853346,-399.61938017879845,0.11939767633407428,0.5224442897350059
900,1.05,0,straddling,2,-450.2181799613048,-449.73471242552847,0.023553806583322512,0.4834675357763558
1000,1.05,0,straddling,2,-500.2844517243732,-499.83759346003274,-0.06102259220295991,0.44685826434044884
1100,1.05,0,straddling,2,-550.3418384472952,-549.9303927238353,-0.1361155855652214,0.4114457234599058
1200,1.05,0,straddling,3,-600.0147418977909,-599.5173445217364,0.2339567902363342,0.4973973760545505
1300,1.05,0,straddling,3,-650.0917487963716,-649.6199918959134,0.1441296538575898,0.4717569004582174
1400,1.05,0,straddling,3,-700.1621223074867,-699.7149003666005,0.06148866295643529,0.44722194088615197
600,1.05,0,local_minimum_gap,0,-300.6851996282831,-300.3963269850477,-0.5407633066654398,0.2888726432353792
700,1.05,0,local_minimum_gap,0,-350.7369439961407,-350.44471138262844,-0.5908276893845823,0.292232613512283
800,1.05,0,local_minimum_gap,0,-400.79131639089303,-400.4867554304352,-0.6390359106641199,0.30456096045782033
900,1.05,0,local_minimum_gap,1,-450.52589987698667,-450.2181799613048,-0.3720399191457773,0.30771991568184376
