schmidt_probability,copies,allowed_infidelity,entropy_rate,optimal_transmitted_qubits,optimal_rate,rate_minus_entropy,achievable_fidelity,converse_fidelity_with_one_fewer_qubit,cutoff_type
0.1,128,0.14358729437462936,0.4689955935892812,67,0.5234375,0.05444190641071878,0.8612396728681572,0.8351712486735839,16
0.1,512,0.08246924442330587,0.4689955935892812,265,0.517578125,0.04858253141071878,0.9227962059617083,0.915952511495267,61
0.1,2048,0.04736614270344993,0.4689955935892812,1026,0.5009765625,0.03198096891071878,0.9538900021653504,0.9519971672640722,228
0.1,8192,0.027204705103003875,0.4689955935892812,4000,0.48828125,0.019285656410718777,0.9733363492542773,0.9725879699721804,872
0.1,32768,0.015624999999999997,0.4689955935892812,15729,0.480010986328125,0.011015392738843777,0.9843980085405805,0.9840674532794308,3394
0.25,128,0.14358729437462936,0.8112781244591328,108,0.84375,0.03247187554086717,0.8646511188907894,0.8279596730568564,37
0.25,512,0.08246924442330587,0.8112781244591328,432,0.84375,0.03247187554086717,0.9269980744982005,0.9164280299534525,142
0.25,2048,0.04736614270344993,0.8112781244591328,1707,0.83349609375,0.022217969290867168,0.9555924971876469,0.9523558596221422,545
0.25,8192,0.027204705103003875,0.8112781244591328,6757,0.8248291015625,0.013550977103367168,0.9732141860699662,0.9726202670669013,2124
0.25,32768,0.015624999999999997,0.8112781244591328,26842,0.81915283203125,0.007874707572117168,0.9845585287436928,0.9843512652180786,8361
0.5,128,0.14358729437462936,1.0,128,1.0,0.0,1.0,0.5,0
0.5,512,0.08246924442330587,1.0,512,1.0,0.0,1.0,0.5,0
0.5,2048,0.04736614270344993,1.0,2048,1.0,0.0,1.0,0.5,0
0.5,8192,0.027204705103003875,1.0,8192,1.0,0.0,1.0,0.5,0
0.5,32768,0.015624999999999997,1.0,32768,1.0,0.0,1.0,0.5,0
