sample_id,rank,branch,concurrence,ensemble_average_concurrence,ensemble_average_entanglement,reconstruction_error,concurrence_gap,entanglement_gap,hjw_converse_error,phase_closure_error,component_entanglement_spread
random_rank_1_0,1,positive_concurrence,0.7145810216373899,0.71458102163739,0.6103997208390474,4.0010741540768354e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1857187100668868e-16,0.0,0.0
random_rank_1_1,1,positive_concurrence,0.6769917248583323,0.6769917248583324,0.5629105236330937,5.196515162820641e-16,1.1102230246251565e-16,3.3306690738754696e-16,1.1775693440128312e-16,0.0,0.0
random_rank_1_2,1,positive_concurrence,0.8153662469747083,0.815366246974708,0.7424893581195676,3.0628340179983807e-16,2.220446049250313e-16,2.220446049250313e-16,4.0910061374587403e-16,0.0,0.0
random_rank_1_3,1,positive_concurrence,0.4785817593048621,0.47858175930486213,0.33131702599890994,1.3732960493041324e-15,5.551115123125783e-17,3.3306690738754696e-16,2.42861286636753e-16,0.0,0.0
random_rank_1_4,1,positive_concurrence,0.8971578105084033,0.8971578105084033,0.8542830881885765,6.598436975493175e-16,0.0,7.771561172376096e-16,1.5485994041225519e-16,0.0,0.0
random_rank_1_5,1,positive_concurrence,0.6393489504719426,0.6393489504719427,0.5164081909133473,3.6212266386314027e-16,1.1102230246251565e-16,2.220446049250313e-16,6.938893903907228e-18,0.0,0.0
random_rank_1_6,1,positive_concurrence,0.37374745426427497,0.3737474542642747,0.224753916990788,4.53756158747438e-16,2.7755575615628914e-16,8.326672684688674e-16,1.7772239894833365e-16,0.0,0.0
random_rank_1_7,1,positive_concurrence,0.7548028043768134,0.7548028043768134,0.6623142154868066,3.8830021398236305e-16,0.0,2.220446049250313e-16,1.0103182026100663e-16,0.0,0.0
random_rank_1_8,1,positive_concurrence,0.7233268533132595,0.7233268533132599,0.6215935163821731,2.843757501240762e-16,3.3306690738754696e-16,4.440892098500626e-16,6.938893903907228e-18,0.0,0.0
random_rank_1_9,1,positive_concurrence,0.7257289600877509,0.7257289600877509,0.6246772980826668,8.223908990277967e-16,0.0,4.440892098500626e-16,8.121767085755589e-17,0.0,0.0
random_rank_1_10,1,positive_concurrence,0.4758562934313089,0.47585629343130875,0.32839085776246085,1.5077603835132932e-15,1.6653345369377348e-16,5.551115123125783e-17,1.5823112613210482e-16,0.0,0.0
random_rank_1_11,1,positive_concurrence,0.7506909365333961,0.7506909365333962,0.6569567056666533,1.072160108016649e-15,1.1102230246251565e-16,3.3306690738754696e-16,2.5598346793737484e-16,0.0,0.0
random_rank_1_12,1,positive_concurrence,0.18306989015086253,0.18306989015086247,0.07033320009601222,4.239134550189097e-16,5.551115123125783e-17,3.7470027081099033e-16,2.9504581591051765e-16,0.0,0.0
random_rank_1_13,1,positive_concurrence,0.8752640451322036,0.8752640451322033,0.8239834356436473,3.6391670207696965e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,0.0,0.0
random_rank_1_14,1,positive_concurrence,0.34756058428050063,0.3475605842805007,0.20023196347142763,1.1934344631312778e-15,5.551115123125783e-17,4.440892098500626e-16,2.105814259841454e-16,0.0,0.0
random_rank_1_15,1,positive_concurrence,0.842897547983517,0.8428975479835172,0.7796861793406523,3.5963714358542753e-16,2.220446049250313e-16,3.3306690738754696e-16,1.0055412576335686e-16,0.0,0.0
random_rank_1_16,1,positive_concurrence,0.9579690431979365,0.9579690431979366,0.9397942088529843,1.584647628814772e-16,1.1102230246251565e-16,5.551115123125783e-16,1.4946834900704541e-16,0.0,0.0
random_rank_1_17,1,positive_concurrence,0.8735215260283983,0.8735215260283979,0.8215833713268206,9.653697597148238e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,0.0
