schmidt_probability,copies,information_tolerance,entanglement_entropy,typical_probability_mass,typical_dimension_rate,rate_minus_entropy,selected_binomial_types
0.1,128,0.14358729437462936,0.4689955935892812,0.8966616924608899,0.5619958510250483,0.09300025743576712,11
0.1,512,0.08246924442330587,0.4689955935892812,0.9535424959200203,0.5357320502794582,0.06673645669017703,27
0.1,2048,0.04736614270344993,0.4689955935892812,0.9754287329023894,0.5116377055674626,0.04264211197818135,61
0.1,8192,0.027204705103003875,0.4689955935892812,0.9905710802457793,0.4947103841434616,0.025714790554180356,141
0.1,32768,0.015624999999999997,0.4689955935892812,0.9970598095131955,0.48418683769590604,0.015191244106624813,323
0.25,128,0.14358729437462936,0.8112781244591328,0.981538751844537,0.8990828151045085,0.08780469064537566,23
0.25,512,0.08246924442330587,0.8112781244591328,0.9932086349472493,0.8746248863156375,0.06334676185650467,53
0.25,2048,0.04736614270344993,0.8112781244591328,0.998302749027062,0.8527346006772343,0.041456476218101446,123
0.25,8192,0.027204705103003875,0.8112781244591328,0.9996625711119153,0.836525754428868,0.025247629969735175,281
0.25,32768,0.015624999999999997,0.8112781244591328,0.999963231105484,0.826316762049392,0.01503863759025914,647
0.5,128,0.14358729437462936,1.0,0.999999999999948,0.9999999999999993,-6.661338147750939e-16,129
0.5,512,0.08246924442330587,1.0,0.9999999999998779,0.9999999999999997,-3.3306690738754696e-16,513
0.5,2048,0.04736614270344993,1.0,1.0000000000016342,1.000000000000001,1.1102230246251565e-15,2049
0.5,8192,0.027204705103003875,1.0,0.9999999999950049,0.9999999999999992,-7.771561172376096e-16,8193
0.5,32768,0.015624999999999997,1.0,1.0000000000611982,1.0000000000000027,2.6645352591003757e-15,32769
