mapping_row_id,paper_id,check_id,claim_id,claim_ids,supporting_claim_ids,target_ids,item_type,scientific_role,source_ref,scientific_object,disposition,disposition_source,reason_codes,next_action,direct_cause_categories,root_cause_categories,code_fault_statuses,fidelity_status,fidelity_score,fidelity_min_score,fidelity_target_scores,fidelity_missing_target_ids
MAP-0014,0709.0548,doherty_extension_claim,CLM_T009,CLM_T009,,T009,quantitative_claim,,Conclusion and cited private communication,,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0037,0709.0548,dqc1_classical_simulation_evidence,CLM_T015,CLM_T015,,T015,method_claim,,"p. 2, trace-estimation paragraph citing Ref. [8]",,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0001,0709.0548,main_fig1_finite_ensemble,CLM_T005,CLM_T005,,T005,figure_series,,"Main Fig. 1, dashed finite-n ensemble",Finite-n 500-unitary average discord curve.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0003,0709.0548,main_fig1_pseudorandom_convergence,CLM_T012,CLM_T012,,T012,figure_series,,"Main Fig. 1, pseudorandom-unitary comparison",Independent pseudorandom-circuit ensemble converges toward the typical-unitary curve.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0043,0709.0548,mixed_state_bounded_entanglement_ppt_speedup,CLM_T015,CLM_T015,,T015,method_claim,,"p. 1 citing Refs. [11,12]",,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0042,0709.0548,mixed_state_exponential_speedup_evidence,CLM_T015,CLM_T015,,T015,method_claim,,p. 1 citing Ref. [11],,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0016,0709.0548,pseudorandom_generator,CLM_T012,CLM_T012,,T012,method_claim,,Main Fig. 1 caption,,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0040,0709.0548,pure_state_entanglement_speedup_theorem,CLM_T015,CLM_T015,,T015,method_claim,,"p. 1 citing Refs. [5,7,9,10]",,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0045,0709.0548,qubit_discord_true_measure_claim,CLM_T015,CLM_T015,,T015,method_claim,,conclusion citing Ref. [21],,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0069,0911.0556,fig3_b_activity_alpha_1_2pi,CLM_MICROMASER,CLM_MICROMASER,,T008,figure_series,theoretical_numerical,"Main Fig. 3(B), blue curve, PDF p. 4",Micromaser activity k(s)/10 at alpha=1.2pi.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
