paper_id,title,target_id,reproduced_checks_missing_fidelity,pixel_status,next_action,recommended_resource
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T002-MAIN,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T002-SUPP,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T003,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T004-MAIN,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T004-SUPP,3,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T005,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T006,4,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,T007,1,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41586-024-08262-7,Particle exchange statistics beyond fermions and bosons,T1,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41586-024-08262-7,Particle exchange statistics beyond fermions and bosons,T2,1,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1038-s41586-026-10720-3,Backreaction of stimulated Hawking radiation in an optical analogue,T_F5C,1,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1103-PRXQuantum.6.010331,Benchmarking and Fidelity Response Theory of High-Fidelity Rydberg Entangling Gates,T001,2,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1103-PRXQuantum.6.010331,Benchmarking and Fidelity Response Theory of High-Fidelity Rydberg Entangling Gates,T002,1,missing,build_render_contract_and_pixel_evidence,local_render_only
10.1103-PhysRevB.91.085420,Interband coherence induced correction to adiabatic pumping in periodically driven systems,T101,2,missing,build_render_contract_and_pixel_evidence,local_render_only
