paper_id,conditional_fidelity,fidelity_success_mass_coverage
0911.0556,92.257184,60.0
10.1103-PhysRevLett.124.113601,95.8676,100.0
1106.2978,91.837243,28.378378
1206.2505,83.36035,40.0
1212.3324,87.83672,83.333333
1302.5069,97.515012,14.004884
1508.03344,95.8781,100.0
1708.05014,91.3738,0.75188
1711.08863,98.82855,25.0
1711.09418,95.771453,5.555556
1803.01876,93.496408,80.0
1805.00931,90.042929,100.0
1807.03311,91.4263,14.285714
1810.00888,88.750375,20.0
1811.08017,93.9948,100.0
1904.10246,91.729379,100.0
1905.09460,95.0713,37.931034
2401.08523,96.21154,100.0
2506.06669,93.917142,42.527473
2507.09447,95.123767,100.0
2512.08279,97.65632,55.555556
2605.02873,90.92928,100.0
2606.30255,96.955575,100.0
2607.15070,97.421033,100.0
2607.15597,95.93812,9.518717
2607.22976,92.570131,100.0
2607.27060,99.99991,100.0
PhysRevA.47.5138,88.16867,100.0
PhysRevB.14.2239,92.974,100.0
cond-mat-0503511,86.968403,40.688913
physics-9712001,88.728355,7.189543
quant-ph-0403025,99.68715,100.0
